curie	label	scope	text	language	type	contributor	date
QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym	Bachelor of Medicine and Bachelor of Surgery	en		orcid:0000-0003-4423-4370	2024-10-29
QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym	Bachelor of Medicine, Bachelor of Surgery	en		orcid:0000-0003-4423-4370	2024-10-26
QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym	MBBCh	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym	MBBS	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym	MBChB	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000034	bachelor of technology	oboInOwl:hasExactSynonym	B.Tech	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000035	bachelor of science in nursing	oboInOwl:hasExactSynonym	BScN	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	B.S. Biological Sciences	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	B.S. Biology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biological Sciences	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biomedical Science	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biomedical Sciences	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasNarrowSynonym	BSc Microbiology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc in Biology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasRelatedSynonym	Bachelor in Biological Sciences	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Bachelor in Biology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasRelatedSynonym	Bachelor’s degree in Biological Sciences	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Degree in Biology	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Licenciada en Biología	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Licenciado en Biología	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Licenciatura em Ciências Biológicas	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	bachelor of science in biomedical science	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	B. Sc. in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	B.S. Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	B.S. in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	B.Sc. in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	BS in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	BSc Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	BSc in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	BSc. in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym	Bachelor Degree in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym	Bachelor in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym	Bachelor of Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	Bachelor of Science (Chemistry)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	Bachelor of Science, Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym	Bachelor's Degree in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	Bachelors of Science in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym	Degree in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasRelatedSynonym	Graduate in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasRelatedSynonym	Graduation in Chemistry	en		orcid:0000-0003-4423-4370	2024-10-27
